sum.taxonomy	R2_AS_DB1	R2_AS_DB2	R2_AS_PN1	R2_AS_PN2	R2_BC_DB1	R2_BC_DB2	R2_BC_PN1	R2_BC_PN2	R2_BP_DB1	R2_BP_DB2	R2_BP_PN1	R2_BP_PN2	R2_CC_DB1	R2_CC_DB2	R2_CC_PN1	R2_CC_PN2	R2_EV_DB1	R2_EV_DB2	R2_EV_PN1	R2_EV_PN2	R2_GL_DB1	R2_GL_DB2	R2_GL_PN1	R2_GL_PN2	R2_GN_DB1	R2_GN_DB2	R2_GN_PN1	R2_GN_PN2	R2_K0541_B2	R2_K0541_K6	R2_K0541_M8	R2_K0541_T9	R2_K0543_E4	R2_K0543_G5	R2_K0543_L7	R2_K0543_M8	R2_K0543_T9	R2_K0544_A1	R2_K0544_B2	R2_K0544_C3	R2_K0544_E4	R2_K0544_G5	R2_K0544_K6	R2_K0544_L7	R2_K0561_A1	R2_K0561_B2	R2_K0561_C3	R2_K0561_G5	R2_K0561_L7	R2_K0561_M8	R2_K0561_T9	R2_K0562_A1	R2_K0562_B2	R2_K0562_C3	R2_K0562_E4	R2_K0562_G5	R2_K0562_K6	R2_K0562_L7	R2_K0562_M8	R2_K0565_A1	R2_K0565_B2	R2_K0565_C3	R2_K0565_G5	R2_K0565_K6	R2_K0565_L7	R2_K0565_M8	R2_K0565_T9	R2_K0566_A1	R2_K0566_B2	R2_K0566_C3	R2_K0566_G5	R2_K0566_K6	R2_K0566_M8	R2_K0566_T9	R2_K0567_A1	R2_K0567_A1D	R2_K0567_B2	R2_K0567_C3	R2_K0567_C3D	R2_K0567_E4	R2_K0567_E4D	R2_K0567_G5	R2_K0567_G5D	R2_K0567_K6	R2_K0567_K6D	R2_K0567_L7	R2_K0567_M8	R2_K0567_T9	R2_K0570_A1	R2_K0570_B2	R2_K0570_C3	R2_K0570_E4	R2_K0570_G5	R2_K0570_K6	R2_K0570_L7	R2_K0570_M8	R2_K0781_A1	R2_K0781_B2	R2_K0781_C3	R2_K0781_E4	R2_K0781_G5	R2_K0781_K6	R2_K0781_K6D	R2_K0781_L7	R2_K0781_M8	R2_K0781_T9	R2_K0784_A1	R2_K0784_B2	R2_K0784_B2D	R2_K0784_C3	R2_K0784_E4	R2_K0784_G5	R2_K0784_L7	R2_K0784_M8	R2_K0785_A1	R2_K0785_B2	R2_K0785_C3	R2_K0785_E4	R2_K0785_G5	R2_K0785_K6	R2_K0785_L7	R2_K0785_M8D	R2_K0785_T9	R2_K0786_A1	R2_K0786_B2	R2_K0786_E4	R2_K0786_G5	R2_K0786_K6	R2_K0786_L7	R2_K0786_L7D	R2_K0786_M8	R2_K0786_T9	R2_K0786_T9D	R2_K0789_A1	R2_K0789_B2	R2_K0789_C3	R2_K0789_E4	R2_K0789_G5	R2_K0789_K6	R2_K0789_L7	R2_K0789_M8	R2_K0789_T9	R2_K0796_K6	R2_LB_DB1_River	R2_LB_DB2_Reserve	R2_LB_PN1_River	R2_LB_PN2_Reserve	R2_MW_DB1	R2_MW_DB2	R2_MW_PN1	R2_MW_PN2	R2_SD_DB1	R2_TW_DB1	R2_TW_DB2	R2_TW_PN1	R2_TW_PN2	R2_VW_DB1	R2_VW_DB2	R2_VW_PN1	R2_VW_PN2
Eukaryota;NA;Oomycetes;NA;;NA;	50	13	0	1	0	0	0	0	0	64	0	0	0	0	0	0	36	0	0	0	27	0	53	83	0	33	1	0	0	0	662	0	0	37	0	0	1	12	2	22	0	40	28	0	0	8	50	210	0	0	25	190	0	0	193	38	1	14	1	699	612	0	0	315	0	0	0	0	1	0	0	0	112	0	17	32	0	0	22	2	1	34	31	45	60	1	13	0	0	1	0	0	0	0	43	0	35	58	1	4	51	0	24	68	26	0	0	17	67	65	0	0	0	0	0	11	25	0	0	24	0	0	284	0	0	1	0	9	140	247	18	1	1	33	0	27	0	17	277	0	104	37	0	21	0	0	0	0	0	0	0	0	32	0	0	1	99	0	307	0
Eukaryota;NA;Oomycetes;Peronosporales;Peronosporaceae;Hyaloperonospora;Hyaloperonospora cardamines-laciniatae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Peronosporales;Peronosporaceae;NA;	0	0	216	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	22	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	19	0	0	0	0	0	0	0	11	0	35	26	46	0	27	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora cambivora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora lacustris	85	0	0	0	80	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora palmivora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Halophytophthora;	112	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;NA;	60	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	19	0	0	0	0	45	75	0	0	91	132	370	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	3	0	0	0	0	0	0	0	0	16	0	0	1	0	32	0	44	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	40	0	0	0	0	0	0	0	0	0	0	68	42	0	0	2	73	50	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Phytopythium;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Pythium;	89	14	0	0	1	0	0	0	69	0	0	1	0	64	0	0	0	0	34	0	0	37	0	0	48	0	60	0	0	18	453	0	0	958	6	0	153	665	425	80	0	231	160	0	0	0	6	0	0	0	0	143	69	0	0	43	1	0	0	126	12	0	21	0	0	7	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	36	38	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29	0	0	36	0	1	0	268	1	43	0	0	74	0	0	0	0	59	194	0	0	0	0	1	0	0	0	22	54	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium adhaerens	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium flevoense	0	0	0	0	32	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium nodosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium oopapillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiogetonaceae;Pythiogeton;Pythiogeton ramosum	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	181	43	0	38	0	0	0	0	0	0	0	0	0	0	0	21	0	267	0	14	0	0	0	26	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1157	0	0	0	0	0	0	0	59	0	0	0	38	0	0	43	0	0	0	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Oomycetes;Saprolegniales;Saprolegniaceae;Achlya;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	42	0	0	29	0	0	0	39	0	0	0	0	0	0	0	43	515	0	0	0	0	34	0	0	0	0	0	0	0	0	31	0	0	33	284	0	0	28	0	13	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	18	44	0	0	15	0	0	41	12	0	37	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	42	0	28	0	45	0	0	0	0	48	28	0	0	20	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
