Taxa	MeanSEDI	sdSEDI	MeanTSS	sdTSS	Substrate	Site	River_Bottom	Biofilm	Habitat	Depth	Features	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	grtgroup	soil pH in H20	soil organic carbon	soil sand	soil clay	soil bulk density	elevation	slope	aspect	gHM	NDVI	EVI	NBRT	greenness	landcover	impervious	percent_tree_cover	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12
[Candida] dendrica	0.528932294431641	0.158732934826845	0.134349998649488	0.209835448276923	2.98457378793365	33.7331935977126	0.1611431098325	0	14.5750705168795	2.47453706804227	36.037747503579	2.61670017477586	2.63809677077402	1.77948564692135	3.2357714962446	4.04184018288546	3.64862080911339	3.60359386414184	2.63366922930816	2.06077031067452	1.95198828152328	3.88764141939368	3.45862484216461	2.81793640786236	0.656734700987712	2.3337194007341	3.71629363853729	1.62419810216334	1.99617089282173	3.03101471485978	0.329176470588235	7.06879533922621	1.1255487893007	17.0335805647016	9.69380240175078	10.7352365596104	6.31138212835323	13.9331756767702	6.49737237405363	17.0991971584188	10.9048360365784	8.25286261727295	5.32063384803065	14.4327554676728	5.79706582072799	29.4129662349794	17.512518084181	22.827702764772	18.8594501533599	15.9500034950924	13.60206069411	16.0058379444322	8.28749325649354	8.81062999190679	8.08329953870551	7.55031423354079	5.18295679125461	6.85809717595851	4.11650277899552	8.80482634171408
Acaulopage dichotoma	0.32042241405453	0.19025499146783	0.214547503371033	0.134548460327302	7.99061782690592	69.4758888847293	2.95157286481205	0	61.3417296687209	16.7572101229404	26.0179414033557	8.75735603048951	6.04721390878861	1.53574072109561	5.4105911648604	7.97140965888269	5.60874153263977	6.15918182957238	7.5507905004591	18.2332992063442	20.6323553241338	6.44877225054274	7.66988400488414	5.34649486951272	0.575020709198069	3.08607832290414	5.66159063196614	3.89170106646783	6.17141085382798	5.75027479419512	0.479745243363053	15.1651782524016	1.66247806043185	37.2820470248551	30.6454289981043	11.5436968507171	23.5708486487779	27.8080206639514	15.9542524225661	8.21792015924959	22.1147073975539	25.8941963686063	14.7560480384083	24.1875370753737	21.5860198417684	29.0637662720332	16.8530120364013	24.2056953477037	19.7940108296616	16.1380251908146	20.7837385715831	17.6089331115146	15.5762389782594	15.3730145415937	17.7685508936393	17.0068514155953	11.8756153933523	8.19300006770725	19.2365973105896	18.157698372003
Achnanthidium minutissimum	0.542987953517094	0.193677459485363	0.362035423925668	0.181971678253767	5.38960718819686	11.8438118332293	0.092831512931513	0	17.1662705901453	8.1781010256279	6.76783565574641	3.44894270821418	15.7312348412984	11.1702900869539	12.3882589297015	10.796426622909	12.3869354636246	13.2417828116013	12.8307026364349	9.62011040465351	13.519151864255	11.5312729935644	3.02771926580635	2.34377509632347	2.07495518678294	5.80361511560885	2.71192040885975	2.47348899682316	3.11644580456936	2.66023080253373	0.0431428571428571	1.87691188244953	0.658779420617719	5.70681064376408	7.15263194820059	8.97633575771022	20.7020959998244	10.1538884482442	16.2239741105415	4.90468779639716	3.90055225548855	3.42641592257871	11.394731104768	8.04473937811985	0.698745850684569	6.87656169890475	7.08273860838685	6.629264061359	9.83108954099937	7.49037979186797	7.40768707826839	8.72542164764073	13.5022503783536	22.8662523878577	24.2846682717852	24.7514306931333	36.0411738186088	4.41769582971586	17.2584605062182	11.8886217910431
Adelina grylli	0.548363027792831	0.0590860619937529	0.123495419309373	0.339614657279584	0.755085425977531	12.783990835035	0.131074627374342	0	27.9500213637488	2.16788541942144	8.06440817883324	1.04330638486017	3.72019346772306	3.43238214851821	4.17883656051394	4.45261867746729	3.90266567250639	4.45132566983063	3.69796645915235	4.80118264573167	4.90356882207722	3.30023811546911	4.39550916089013	3.20887905335192	0.749219706049126	1.26285135104852	3.7690049408601	4.09698720608031	4.05203583489416	3.53170749719695	0.0441666666666667	4.83568131719727	0.797868951851931	17.4522817939678	12.5852142680226	1.58677567230452	8.30893546283293	10.1240475738851	15.5055108273717	4.03714146900035	3.51995739547581	6.01255270695764	5.45351381113406	7.06737942755695	5.01033853447852	6.02002642082103	5.77783727869962	5.13602369526153	4.55638853215006	4.20900104242748	6.02424278369135	5.5442766169028	6.13935559846469	2.65276488494104	3.41453265061846	3.23766380618662	12.4482114062206	3.78810870491203	7.44121851166807	7.23705470342632
Aeolosoma hemprichi	0.108466759727575	0.17692979647673	0.0698272360037066	0.111530471242231	10.2629497642569	50.6934221857531	4.37930560663848	0	29.4932764563668	4.01900857750975	67.8978510485232	8.56159628873019	8.4871957709658	2.56659982319221	8.23006258295683	10.2916608623589	9.0402940869557	9.04428254299507	7.90954657489459	5.98652618943163	8.16381687057428	8.82040782614701	12.6465680480519	28.6089052135541	5.35483137950305	7.65449147768571	23.6221502320187	7.03446852997973	20.7752078717083	27.2802720544991	0.640364424650812	14.2635658656852	0.504865065653301	11.0672875222054	8.41383227142207	6.32094182997943	16.5558850731756	29.7229215820753	26.574450016772	8.53405023127684	17.0826453884074	26.7538679302166	21.6532798531887	19.403219621062	7.55069022981408	8.51303018873649	37.5889496404993	18.4802843069605	18.1213942179391	15.219243495367	16.3734570855549	20.9064081884529	15.6123713771537	15.4625286079252	17.0706254905146	16.4988940703851	18.2455260372552	15.5609312573758	24.9343859363606	19.4006564754097
Aeolosoma sp. GG-2011	0.585545475548781	0.075814082045084	0.436785545244174	0.0658985477926074	19.3087490982158	97.6028177527955	4.02551551319421	0	14.8771622082544	11.2614917446236	93.9678693920071	3.75883903547551	18.179780437151	2.24511654752201	11.3229984000023	21.9898189394319	19.5597103045996	24.6187718188066	6.11919761400311	9.79792751475103	9.84931105170125	5.29776429254558	10.1494440238392	12.1898875290679	0.359965282584448	3.25388909631363	9.34476544602829	7.25133190937482	7.97733239387837	13.4109577120208	1.05582249561858	14.9495433784378	8.33775782165499	15.3134895649745	15.412375352187	13.5429087524351	28.135191054051	24.2895746526838	27.857678199168	7.51492430055118	15.2175585570867	23.1302975591172	23.6074701757237	21.7685745323358	9.02888280937744	16.8298758220513	45.3906267387024	50.9861616971065	35.9666154739333	53.9771941129179	32.749190871539	36.1478022494139	30.8298136714516	20.3824363760819	21.7186683226274	18.2670502418622	29.2923258711337	11.5060606655905	21.3926574445516	28.0599832536797
Allantion sp. CCAP 1906/1	0.453829074116424	0.128872836516074	0.312107371072154	0.101419044132438	10.2315202177096	82.4568125845269	0.483001142776638	0	14.5341342637326	18.6317622858107	13.4882739099054	8.83665086747233	7.51380168079122	4.06223738073908	11.0345023733227	6.57682423857896	8.70158877219779	7.57802717389812	10.459173081305	4.19533826029182	6.4639932032934	12.3213274192104	8.67946154646194	8.3356493289899	1.6863451526285	7.03829128260877	13.2366158037739	2.63181425739178	5.23640421305494	10.9383157331072	0.397550865800866	16.3386151012101	2.50572228132902	16.3412171228603	17.1009013029465	46.029532219597	24.4881601308827	45.6943925056325	14.2163131147135	7.66721015385233	27.7438512561603	27.2105262195767	16.3170930135731	31.7113438672927	9.77668332056421	12.9779965049466	16.1289247684367	11.2154719859482	19.2623845321687	14.6627401797287	22.4942130147097	17.2280133310131	17.9000754312712	16.5719549022337	16.5377457961198	18.9574428219598	19.4021445740359	36.0337804521923	41.5234998424712	30.7914190134444
Amoeboaphelidium occidentale	0.666886662367101	0.0882616910316063	0.507589358792519	0.0835532399879867	26.9522361857834	92.3878073200081	2.03167299333161	0	40.3171872887811	16.5225646248334	46.6016325672388	25.522465711608	11.9600850985584	33.9511160813977	14.0880486918374	13.1722321028648	11.306678502307	12.8992890368931	14.610904825595	14.5223059726174	15.7568058982152	13.1278085046947	15.2743648342757	13.0194251545918	1.08173987737105	11.2621531533276	21.6488960061589	11.60158038859	11.2686310055726	14.4673098432054	1.30218475535198	13.775529319177	28.165403845893	13.3682901824128	12.4634079662101	16.6481054400277	33.1175950197803	17.6731508653366	19.1893706121346	28.1952268995857	14.4699919385873	28.6303594923312	48.6144372185697	20.801991711921	8.47711469636061	27.2119843717108	32.3098114236242	37.8176547247303	32.153575670387	35.7750759625756	23.0756571330174	19.3479288274594	18.7210997548588	12.4291812052322	10.18270778498	12.6682640595673	16.808445258373	10.2508057127791	18.8578838625229	17.5138029316906
Amoebophrya sp.	0.315854948361384	0.236285294543235	0.225010962919342	0.171046919063483	11.4992896222596	81.4755519438993	2.6423360543295	0	11.1629279990919	3.28426085265378	81.6722177604893	5.77476459760612	6.90213059000536	1.44375980234854	7.14118445292269	6.97749536395966	6.08896751167431	7.94383647553112	7.80523782748497	3.98265546736905	6.51437170084644	7.27082212297191	12.0149779801485	7.77230168453828	1.63299666359335	8.5664453521495	12.3654119669696	3.89847593885997	6.11919091805463	12.9736786818152	0.869108737164469	5.55550554039358	4.55733642837687	17.193821567963	12.8824568413059	9.81951156924416	16.2508201217885	41.0614864386794	38.8025912913952	16.3553331605591	14.7151919748021	40.7881501511649	38.1309607290597	34.1127231821471	10.0371158349813	32.1350246223119	40.3555379792467	43.2794726341476	35.2787240632828	38.1945474496156	35.5972795719431	37.9656853068464	18.0988275377594	16.2061368778716	15.5636606060277	13.4967242141626	23.6076684983727	17.0544315530044	33.465337734837	52.5599915759039
Amphora normanii	0.767234947278099	0.134124389941387	0.70607822410148	0.228963536969117	3.56262813852814	4.48302124801912	0	0	14.909182409591	3.23380027750028	7.21960549272407	2.20098289502665	10.3315739038763	11.4331274369892	8.69809377910608	10.6699067316184	10.2272813122188	11.6207966434883	10.240676119019	9.27821648430017	11.4403171467884	9.77938586969924	11.2912051420947	10.3931488056319	1.93929634151653	1.99480374920588	10.8598677543681	12.7901751986894	12.4816055302076	8.46220249086297	0	9.50948961548762	0.212336154691424	2.74482063492064	3.20082532780297	0.425723876123876	18.8139425847848	17.4198088048548	4.8936053517779	9.48324130714399	3.26477040289583	9.92764565504199	3.08315338399431	9.795852343552	0.0606285714285714	0.0281904761904762	8.53984852125447	1.75325819783054	1.91795353535354	1.6863987012987	1.6503682983683	2.09510803782506	3.15851919191919	0.591766812034712	0.486791661293789	0.371190077062418	9.08848798564781	0.0426190476190476	3.0938226995227	1.85282323232323
