Taxa	MeanSEDI	sdSEDI	MeanTSS	sdTSS	Substrate	Site	River_Bottom	Biofilm	Habitat	Depth	Features	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	grtgroup	soil pH in H20	soil organic carbon	soil sand	soil clay	soil bulk density	elevation	slope	aspect	gHM	NDVI	EVI	NBRT	greenness	landcover	impervious	percent_tree_cover	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12
Achromobacter xylosoxidans	0.563249298340996	0.066652057522634	0.266356122780173	0.177720216173974	7.33157756389391	15.751576693519	0.269205789609412	0	40.1680994029947	15.3916838789842	22.8480496205369	0.619323786062863	2.64798097912957	1.25737837686308	2.23239562967858	1.32594669511958	2.4937523834997	3.00579020258204	2.38568372866222	1.4693887002143	1.57299580829474	3.10254764010569	11.5120110161233	1.06809332119152	0.267323644607348	2.32310678768754	1.35228710887237	0.891376912878122	0.881673324221484	1.28893335809995	0.129763392163392	12.8006604255822	0.373522390749945	6.32904331418647	1.78958851417992	12.8621285131439	22.3779303699933	23.0826519693638	5.70041475107347	11.8466051900261	32.6015630269711	20.2515237021962	10.3911045363803	28.1740368934376	7.91896881346099	7.148663504626	18.0790017527142	9.03898659279496	11.7923077181401	7.32479268054649	6.7932100361936	8.15396126190963	7.852168497492	2.63064443836396	4.81259771333203	5.161965791604	9.56200766122436	3.39437834131129	7.34933748348174	9.47985209669334
Acidimicrobiales bacterium URHD0090	0.756413092185031	0	0.115740740740741	0.229708080509587	1.30966742864978	5.81760921323432	0.000755020080321316	0	13.7192420299419	2.3827621190164	23.0333282411422	0.617434834278545	2.0654506369769	2.09591935738946	2.43621103518207	1.91092989107969	2.48929507594035	2.32178307507072	1.62195606943265	2.00205120651319	2.05474960133424	1.32832483961106	2.08978577325978	2.0825361972607	0.336091908175652	0.656310858144626	2.00058953245024	2.18280477031475	2.12783061883874	2.25764837191241	0.0292018099547511	2.62608171181012	0.438239698257829	10.3040022232008	11.8855951453564	0.825535339750441	9.37231613195533	9.76536921035139	7.72252210655339	1.75918235437125	0.699394388580591	1.87957502655489	3.00662581749688	2.94278016244198	2.84283786125115	6.73084383360257	3.02153801467882	8.62946379309139	4.22788783136894	3.20508713691295	2.87915615685734	3.11303482379922	3.64710120834477	1.89705961596374	1.43275198487619	1.9864572845132	3.25723343082905	0.387983871683872	2.7411462720551	4.64459168814583
Acidimicrobidae bacterium YM18-244	0.19487213421525	0.157032212535223	0.0972843302795275	0.106776486579318	38.0488610715224	45.1626351835471	24.64248836264	0	44.0996095745082	28.9120359919554	194.365377769034	3.41866657861353	7.79226501831297	2.64488146892331	8.39303351669745	9.37662205173478	6.84098263400917	9.29408257055575	6.09388716552022	4.44504433151374	5.78750370873275	6.77468382211754	11.1387371243184	7.13734835077625	0.962498653035592	6.51469691587191	11.7713220110014	3.59459365776672	5.29135653748002	10.4814856318432	1.32213797751849	15.1938474166626	5.79386372830773	14.4432038515523	17.4699077792017	18.8926074030065	29.1517548997376	54.4298034580966	33.7392119273194	10.9316297797394	24.3833712135778	34.1950981127858	28.4750066247867	39.0820060591617	15.3531836418173	27.6456809380645	30.9648209257635	22.8957905324777	32.1805210210042	27.2334158586869	26.2287230879722	28.490348117341	46.6548630013769	32.6456960521758	30.766256163884	26.6547274772086	34.9677645089787	10.5406472540119	44.1841154721851	30.7226438381634
Acidimicrobiia bacterium	0.506601037937988	0.170355287372001	0.151550068944806	0.201191773647269	7.07160569794908	31.1451701187404	1.81642591367313	0	66.8289032119973	11.3817371907908	44.5296610742303	1.81163011711925	3.7845878433247	1.04439331608785	3.78482127631928	4.94570248670234	3.71326814511658	4.51176883499637	3.11944393201598	7.12268731781238	7.85229583169486	2.68902456266613	4.23792091610553	4.53357557212651	0.306511101827982	3.89986992134324	5.27756412953773	2.00560598242806	2.35324297881388	5.21721200299142	1.94845801256933	4.41809620814572	1.93588216842905	17.5810968221939	24.8753188401706	15.617555036521	24.6397562482604	29.1909193381717	30.6848545695548	4.4083732685612	17.035526562935	19.3882112658555	21.7232461273682	12.9878832630834	10.3605411479114	17.642743451087	14.9416706466197	19.2670564017524	11.4154255334513	8.25381502012345	9.65540437868212	13.9721521842732	24.8260019287849	10.5757015827911	11.0516846711136	10.6457137564066	15.565007521328	5.29587830154887	19.1404249230525	15.2246199051241
Acidobacteriaceae bacterium	0.589562275728342	0.104849072491291	0.416442901884546	0.0982680650748813	41.5129193688116	129.939524586151	4.10631008399023	0	43.4737038510829	27.889563355125	185.949979415276	8.75950316110389	8.78018887844622	6.60954922383729	11.0714587632799	10.6575972202099	8.33019811747869	10.915547301517	43.5047302577032	9.72178146525258	9.91805399251147	13.8976444002114	14.119608014047	12.415405293672	0.998520782797141	7.25276755920589	12.4733828229201	8.13999856234561	7.70993504550327	14.0939417449069	2.42371268887509	14.8180487246805	12.8665376311761	21.3429375716688	32.4864210193777	23.9821524658287	32.8948691863594	54.1383870474463	38.027108689519	44.3441539979498	34.6053191016495	52.3761039379961	38.0841539330697	38.6710424528292	15.9683077833148	34.2318706280126	29.5151065860517	36.9917141676979	38.4772604775484	34.1329410692126	32.7286719169678	35.2205605729227	40.6164514577692	22.1161009381446	18.2736040570301	24.4135622644091	33.4283641073035	15.3416352036758	43.7230931140696	36.968674652211
Acidobacterium sp. SCGC AAA007-P13	0.531929402245267	0.170618636480765	0.353540284184699	0.154693815628131	8.94945012429861	44.7959473641988	0.681657842766602	0	88.1289035094475	18.0383859357658	58.1210072792945	5.03990845531103	8.05726902251718	6.81585037994239	10.7420435047668	8.19612065233601	9.39651661495256	9.12554331759488	7.98806547859499	8.90167757559963	6.64221633927435	10.6699100241039	26.0663221627093	6.76673647728566	1.14000788118037	6.50571696438327	8.90469919018778	5.33814004814756	7.05185286917109	8.66216622361117	0.452109097443194	16.1113778082132	1.91333435375426	15.3436469016422	7.21215662789927	17.2838760605023	45.7531095249349	23.8672182560278	15.732539823361	20.3417056008764	60.7866494549846	55.1190850673786	19.9828477185329	65.5971683932585	33.2359045625376	27.3000518879075	12.4184153507949	19.6860590951381	20.7880125102792	9.37369980992113	11.3264164529233	11.7851062774172	9.90315695374932	6.48942244538971	9.96809747338085	9.60232772852219	17.7899656805612	10.5392337694001	17.1755914300084	18.498283436931
Acidothermus cellulolyticus	0.88847133698481	0.0266246714501757	0.763054862470984	0.0401188609067818	90.5711659108001	171.721007034814	2.16991079132037	0	7.94840272421824	19.2085117980072	171.792840373695	96.3821225176436	13.8747006365342	37.452306937845	13.3169141855289	11.5958668543101	12.4213882115119	18.046580597119	83.77742504843	7.22580522203684	8.46645013316797	86.8158849460315	10.5722505344557	15.1116193301965	0.674965994349512	57.5362658400564	17.8494785047563	4.19739316694355	8.24369710123792	20.4853994011387	1.67913482423615	5.77509484071881	4.93359968113517	16.9298440106408	14.8950126783689	26.0815299088735	39.7009281824877	28.0337820547376	42.5475629761383	57.7705452632142	32.4167570208848	46.2862187059675	72.1680855454284	34.6395664952198	10.2110319594547	31.0201515313212	24.7677920738354	52.7695364832428	78.5477132824066	64.2238962441083	56.0716186779064	42.9674960422201	36.1660197182333	32.5707117749535	36.1495253825818	22.1503335713346	45.7337367512406	21.238888771671	35.4040187322256	36.0794053771751
actinobacterium CH9	0.406988340272698	0.153105119185696	0.295322460070657	0.119237105401374	48.2745483711241	120.071128889745	9.00182604568611	0	28.0677607725334	30.4792510913529	269.798866184162	40.2315654061962	10.2036663731539	7.55506084580805	19.0512753903581	20.3989242674328	10.340121883578	17.3248844441163	13.5202611943211	42.4104642114747	41.0296849565745	10.9020955913979	19.6856994237272	15.3238359210457	1.51715581351012	13.1894849129574	23.5327510807591	6.66408496391633	14.7517796593623	20.8985227903744	2.20847412034729	16.6165680050627	10.0497964272657	33.0746389777663	28.4001922075719	31.3699778465379	24.4968651031703	42.7580913208272	43.245957833148	72.1573893627687	42.2250462551991	55.7883814731737	45.081116889768	35.8505839675461	11.2907210077862	46.6046258732821	32.8124158175075	60.2554027790413	38.827885365519	34.5769109200477	34.4290254537126	40.5893264436381	44.951928349128	36.4720287045219	29.0172460968	42.5238553576141	37.9918876730483	14.2164030844336	46.4806231551999	42.759732971322
actinobacterium enrichment culture	0.714835679822823	0.207947981258446	0.131956751054852	0.279887496167988	4.2264406116296	14.0593696464253	19.4313798732113	0	13.7922861987137	11.5115615732198	12.104457254729	0.675528605632261	1.86665703417086	0.332405880404822	2.17231136669505	2.82927330343675	2.30497532020208	2.24382069748746	0.652111235308037	2.09168915679391	2.02458414687792	0.534089344883695	2.49315964683198	2.75678332222475	0.0253333333333333	0.472237825462947	2.14623105545565	2.08140750350851	2.00065875879756	2.92753967501208	0.246509522881659	5.69434215406175	2.50783297328264	13.6928068231415	14.7799713751589	9.55383894870294	9.43430992392681	20.85607325248	2.55951360612628	1.60415138846885	8.44888450399014	10.4715905469379	3.04017068292802	3.23172069096045	5.42142646319625	24.4604818963979	6.50828824482773	15.2707517881906	7.25463701610541	5.16136950508352	4.10193873856838	3.68335563506406	7.66500015483655	5.88055021311907	5.903081576341	4.71233040267405	5.57701495965045	0.955262960188898	6.14708088300581	8.21243685535303
actinobacterium SCGC AAA007-L10	0.619028608409735	0.127988226424832	0.137464592369656	0.233103257485332	23.4683876315902	4.45202223917065	4.76497465025188	0	5.04270667897691	4.91128718335989	21.7736805077683	0.38146423777025	4.63426844788827	0.139624669843712	4.07397559190459	3.64590670998241	3.81612367731149	3.97713848061287	0.684400848109838	4.73206581326463	3.82835417022388	0.277745557220557	3.92139758790529	3.78980601463317	0.0550666666666667	0.422594949798806	3.97131758733758	3.0249890513064	2.94116989732687	4.19346728035217	0.945052779969754	1.30428061765164	1.91349704380022	3.54874007554013	9.24949880242571	7.06642909577257	20.0515999770638	6.55038927904427	1.63279737027146	0.819390846248824	3.7221257765676	23.3069520885375	2.10638921624668	4.92835604606586	11.0403085369361	7.79967828794483	11.273062987556	18.2585583563415	28.5514410678577	18.0887373874852	16.7926982380781	18.6075560046537	16.5888956362381	11.0269210611405	10.7284411875744	10.9965844205492	6.14969158181693	1.76453657586669	12.5209727193457	13.4546477193097
