sum.taxonomy	R1_AS_DB1	R1_AS_DB2	R1_AS_PN1	R1_AS_PN2	R1_BC_PN1	R1_BC_PN2	R1_BP_DB1	R1_BP_DB2	R1_BP_DB3	R1_BP_PN1	R1_BP_PN2	R1_CC_DB2	R1_CC_PN1	R1_CC_PN2	R1_EV_DB1	R1_EV_DB2	R1_EV_PN1	R1_EV_PN2	R1_GL_DB1	R1_GL_DB2	R1_GL_PN1	R1_GL_PN2	R1_GN_DB1	R1_GN_DB2	R1_GN_PN1	R1_GN_PN2	R1_K0526_B2	R1_K0526_C3	R1_K0526_G5	R1_K0527_B2	R1_K0527_B2_2	R1_K0527_C3	R1_K0527_E4	R1_K0527_K6	R1_K0527_L7	R1_K0527_T9	R1_K0528_A1	R1_K0528_E4	R1_K0528_G5	R1_K0528_K6	R1_K0528_L7	R1_K0528_T9	R1_K0529_A1	R1_K0529_B2	R1_K0529_C3	R1_K0529_G5	R1_K0529_K6	R1_K0529_L7	R1_K0529_M8	R1_K0529_T9	R1_K0530_A1	R1_K0530_B2	R1_K0530_C3	R1_K0530_E4	R1_K0530_K6	R1_K0530_L7	R1_K0530_M8	R1_K0539_L7	R1_K0585_T9	R1_K0593_A1	R1_K0593_C3	R1_K0593_E4	R1_K0593_G5	R1_K0593_K6	R1_K0593_M8	R1_K0593_T9	R1_K0594_A1	R1_K0594_E4	R1_K0594_L7	R1_K0594_T9	R1_K0595_A1	R1_K0595_B2	R1_K0595_G5	R1_K0595_K6	R1_K0595_L7	R1_K0595_M8	R1_K0595_T9	R1_K0596_B2	R1_K0596_C3	R1_K0596_E4	R1_K0596_G5	R1_K0596_K6	R1_K0596_L7	R1_K0596_T9	R1_K0597_C3	R1_K0597_E4	R1_K0597_K6	R1_K0597_L7	R1_K0597_M8	R1_K0597_T9	R1_K0599_A1	R1_K0599_E4	R1_K0599_G5	R1_K0599_K6	R1_K0599_L7	R1_K0599_M8	R1_K0599_T9	R1_K0672_A1	R1_K0672_B2	R1_K0672_C3	R1_K0672_G5	R1_K0672_T9	R1_K0673_A1	R1_K0673_G5	R1_K0674_E4	R1_K0674_G5	R1_K0674_M8	R1_K0676_B2	R1_K0676_M8	R1_K0676_T9	R1_K0677_A1	R1_K0677_B2	R1_K0677_E4	R1_K0677_L7	R1_K0678_B2	R1_K0678_E4	R1_K0678_K6	R1_K0678_L7	R1_K0679_B2	R1_K0679_M8	R1_K0701_C3	R1_LB_DB1	R1_LB_DB1reserve	R1_LB_DB2	R1_LB_DB2reserve	R1_LB_PN1	R1_LB_PN2	R1_MW_DB1	R1_MW_DB2	R1_MW_PN1	R1_MW_PN2	R1_SD_DB1	R1_SD_DB2	R1_SD_PN1	R1_SD_PN2	R1_TW_DB1	R1_TW_DB2	R1_TW_PN1	R1_TW_PN2	R1_VW_DB1	R1_VW_PN1	R1_VW_PN2
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;NA;	56	2079	0	0	2940	0	131	0	0	1065	2	3709	134	1675	0	0	1666	111	0	0	0	0	10	0	2	1337	0	12	0	0	0	101	0	0	0	0	51	0	8	127	79	60	8	41	0	0	0	0	86	1684	0	0	194	0	853	711	0	0	0	220	0	167	0	0	0	2	0	0	0	0	0	0	0	61	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	13	0	0	121	161	41	32	0	0	0	5003	0	1	0	5751	0	0	0	0	34	6	1	0	0	449	0	47	11	1	0	0	0	835	1925	2600	5558	30	3	1	0	2	78	48	1353	370	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas	7	464	0	0	0	0	0	0	0	168	0	658	16	248	0	0	124	65	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	68	0	1675	0	0	0	0	0	0	0	0	0	145	0	10	0	0	0	0	0	58	39	395	156	0	0	0	0	0	0	9	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Rhinichthys;Rhinichthys osculus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Aphaniidae;Aphanius;	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	2	0	0	0
Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Gambusia;	0	0	0	0	0	8	0	0	0	0	0	3638	1841	2713	0	0	20	4	0	0	260	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	45	0	542	290	8	0	0	0	0	0	0	0	0	0	354	0	319	171	6176	0	0	302	0	0	3061	0	0	0	3863	0	0	3981	0	0	0	39	0	0	0	14	1	0	0	0	0	0	0	51	0	0	0	2228	109	153	42	1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	21761	68	0	0	12	0	7	487	100	843	0	0	0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;NA;	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;	0	0	0	0	0	0	1058	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0	0	92	0	16	0	0	149	1405	60	0	0	0	0	0	0	0	0	105	1818	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;;NA;	1	0	0	0	1	0	12	86	0	0	0	0	4	1	0	0	0	0	0	0	3	1	1	5	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	1	1	0	1	0	1	0	0	0	3	0	119	0	0	0	52	0	0	111	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	130	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	161	0	5	15	15	0	0	1	31	1	0	0	4	1	3	0	0	2	17	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;NA;	37	0	100	61	0	350	0	214	649	0	211	0	0	0	102	160	87	405	0	40	406	185	770	156	371	0	379	0	0	0	0	0	0	0	0	2248	0	0	0	0	5	0	0	0	0	0	0	97	0	0	0	585	0	0	463	0	1631	25	0	112	1531	0	0	0	59	0	7	0	0	0	0	10	0	0	0	0	120	28	0	0	0	0	0	0	0	19	0	0	392	350	0	0	0	0	1133	4	0	0	0	3	28	0	0	0	80	0	29	0	0	0	0	0	0	0	0	0	0	0	216	93	0	8	0	0	1005	0	0	0	2994	0	0	68	165	128	189	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;NA;	0	0	0	0	0	0	398	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	70	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys dentatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	428	0	0	0	0	0	0	0	0	0	0	49	0	0	3582	0	0	148	0	0	0	0	0	0	0	0	0	7	0	40	0	0	0	0	12127	148	0	0	0	0	0	165	0	210	74	48	0	33	191	0	9	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	546	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ictalurus;	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Siluriformes;Loricariidae;Pterygoplichthys;	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	54	0	0	0
Eukaryota;Chordata;Actinopteri;Siluriformes;NA;;	0	102	0	0	5042	0	0	0	0	3	0	0	0	0	0	0	23	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	53	0	939	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	958	0	0	0	0	0	0	0	0	0	0	0	104	62	16	0	0	0	0	65	497	0	0	0
Eukaryota;Chordata;Amphibia;Anura;Bufonidae;Anaxyrus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
Eukaryota;Chordata;Amphibia;Anura;Hylidae;NA;	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Amphibia;Anura;Pipidae;Xenopus;	0	0	0	0	0	0	0	0	0	0	0	0	136	116	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	187	0	0	0	0	0	0	0	0	0	0	4008	0	0	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4254	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Amphibia;Anura;Ranidae;Rana;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0
Eukaryota;Chordata;Aves;Accipitriformes;Accipitridae;NA;	0	0	0	0	4	6	0	0	0	0	4	0	0	0	1	1	0	8	0	2	2	0	4	0	2	0	0	964	0	0	0	0	0	0	5381	0	0	0	0	0	0	0	0	0	0	630	0	0	0	7	0	0	0	0	0	0	2	0	0	0	208	40	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	581	0	0	0	0	212	0	0	0	885	0	0	0	0	0	0	0	0	0	266	548	0	0	0	0	0	0	185	0	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Aix;	1	0	0	0	0	1	0	4	15	1	2	0	0	0	3	5	1	6	0	5	11	0	28	62	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	9	7	0	0	148	0	0	0	3	7	1	1	0	0	0	1	0	0	0
Eukaryota;Chordata;Aves;Anseriformes;Anatidae;NA;	143	434	358	0	477	732	0	431	366	331	753	0	161	135	268	519	68	1129	0	1493	1313	0	1854	300	863	0	0	0	169	0	6	0	0	0	0	0	23	0	1217	0	0	25	0	53	0	0	0	1	9	1730	0	0	1557	0	33	98	142	0	0	669	0	66	36	0	89	0	0	0	0	3131	0	0	78	0	0	33	0	508	0	0	0	0	0	0	0	966	0	0	0	489	83	194	198	564	0	0	0	110	38	35	0	51	0	0	0	1252	0	0	0	2008	10	0	0	0	0	0	112	0	0	0	0	0	30	516	1773	0	0	484	0	1058	272	135	316	239	485	48	203	751	170	196	24	0
Eukaryota;Chordata;Aves;Charadriiformes;Charadriidae;Charadrius;Charadrius vociferus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	157	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus dominicanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Chordata;Aves;Charadriiformes;Laridae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	10	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	1059	1643	0	4919	0	0	0	0	0	0	0	0	8543	0	0
Eukaryota;Chordata;Aves;Charadriiformes;Recurvirostridae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	51	0	0	0	0	0	0	0	0	38	0	0
Eukaryota;Chordata;Aves;Charadriiformes;Scolopacidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Columbiformes;Columbidae;Columba;	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	128	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	162	19	0	20	0	0	0	0	0	0	0	0	10	0	8	0	0	0	0	78	0	0	0	0	0	79	74	0	176	0	0	0	0	0	0	0	0	11	0	369	0	0	315	387	0	20	2344	2097	0	0	3056	84	0	0	38	0	0	115	0	0	0	0	0	0	0	0	0	0	8	0	0	5	1324	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0	9	65	0	0	16	0	0
Eukaryota;Chordata;Aves;Columbiformes;Columbidae;Columba;Columba livia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Columbiformes;Columbidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	900	0	0	1	40	0	0	3	4743	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
Eukaryota;Chordata;Aves;Columbiformes;Columbidae;Patagioenas;Patagioenas fasciata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	44	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	139	6	0	107	0	0	0	0	219	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	109	0	48	0	0	0	10	0	6	23	0	10	0	275	0	0	0	0	0	0	0	0	0	0	6	0	29	4	48	44	56	0	0	0	0	0	0	0	0	5	0	0
Eukaryota;Chordata;Aves;Gruiformes;Rallidae;Fulica;Fulica americana	0	0	0	0	0	0	22	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4458	0	0	1944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;NA;;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	2	1	7	0	2	5	0	0	0	4	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	196	1057	0	0	0	0	0	1	1	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	80	2	0	0	0	7	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	1	131	3	0	0	0	0	0	1	2	0	0	0	0	8	4	420	3	0	25	3	0	0	0	0	0	3	1	0
Eukaryota;Chordata;Aves;Passeriformes;Estrildidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	18
Eukaryota;Chordata;Aves;Passeriformes;NA;;	0	0	0	0	97	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	17	0	0	0	928	0	56	0	0	0	0	0	0	1005	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	2	0
Eukaryota;Chordata;Aves;Passeriformes;Sturnidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
