sum.taxonomy	R3_AS_DB1	R3_AS_DB2	R3_AS_PN1	R3_BC_DB1	R3_BC_DB2	R3_BC_PN1	R3_BC_PN2	R3_BP_DB1	R3_BP_PN1	R3_BP_PN2	R3_CC_DB1	R3_CC_DB2	R3_CC_PN1	R3_CC_PN2	R3_EV_DB1	R3_EV_DB2	R3_EV_PN2	R3_GL_DB1	R3_GL_DB2	R3_GL_PN1	R3_GN_DB1	R3_GN_DB2	R3_GN_PN1	R3_GN_PN2	R3_K0551_L7	R3_K0553_G5	R3_K0553_L7	R3_K0553_M8	R3_K0554_A1	R3_K0554_C3	R3_K0554_E4	R3_K0554_G5	R3_K0554_K6	R3_K0554_L7	R3_K0554_T9	R3_K0556_E4	R3_K0556_G5	R3_K0556_T9	R3_K0557_A1	R3_K0557_B2	R3_K0557_C3	R3_K0557_E4	R3_K0557_K6	R3_K0557_L7	R3_K0557_T9	R3_K0559_C3	R3_K0559_G5	R3_K0560_A1	R3_K0560_G5	R3_K0560_K6	R3_K0560_M8	R3_K0560_T9	R3_K0563_M8	R3_K0568_A1	R3_K0568_C3	R3_K0568_G5	R3_K0568_K6	R3_K0568_L7	R3_K0568_M8	R3_K0569_A1	R3_K0569_B2	R3_K0569_G5	R3_K0569_K6	R3_K0569_L7	R3_K0569_T9	R3_K0591_A1	R3_K0591_E4	R3_K0591_G5	R3_K0591_K6	R3_K0591_T9	R3_K0592_A1	R3_K0592_B2	R3_K0592_C3	R3_K0592_E4	R3_K0592_G5	R3_K0592_K6	R3_K0592_L7	R3_K0592_M8	R3_K0598_B2	R3_K0598_C3	R3_K0598_E4	R3_K0598_K6	R3_K0598_L7	R3_K0598_T9	R3_K0600_B2	R3_K0600_C3	R3_K0600_E4	R3_K0600_G5	R3_K0600_K6	R3_K0600_M8	R3_K0782_E4	R3_K0782_M8	R3_K0782_T9	R3_K0783_C3	R3_K0787_A1	R3_K0787_B2	R3_K0787_E4	R3_K0787_K6	R3_K0787_L7	R3_K0787_M8	R3_K0788_B2	R3_K0788_E4	R3_K0788_K6	R3_K0790_A1	R3_K0790_B2	R3_K0790_G5	R3_K0790_K6	R3_K0790_L7	R3_K0790_M8	R3_K0790_T9	R3_LB_DB1	R3_LB_DB2	R3_LB_PN1	R3_LB_PN2	R3_MW_DB1	R3_MW_DB2	R3_MW_PN1	R3_MW_PN2	R3_SD_DB1	R3_SD_DB2	R3_SD_PN1	R3_SD_PN2	R3_TW_DB1	R3_TW_DB2	R3_TW_PN1	R3_TW_PN2	R3_VW_DB1	R3_VW_DB2	R3_VW_PN1
Eukaryota;Chordata;Mammalia;Diprotodontia;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Lagomorpha;Leporidae;Sylvilagus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	90	0	0	0	0	137	20	28	10	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	56	70	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;;NA;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	6	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	3	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	4	1	9	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;Bovidae;Bos;Bos taurus	0	0	0	3	16	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	22	188	0	0	0	73	0	0	0	352	203	22	25	462	0	0	0	0	0	0	85	0	8	6	6	0	0	35	0	51	109	0	0	16	23	0	2	243	545	742	1145	0	164	952	0	22	228	463	0	25	38	0	21	85	1285	402	0	183	0	0	0	28	70	23	0	0	0	1	118	0	8	0	0	0	0	54	31	0	325	178	6	0	0	230	0	37	185	0	0	0	36	0	15	72	0	10	7	12	37	0	0	40	11	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;Bovidae;Capra;Capra sibirica	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;Bovidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus;Sus scrofa	9	0	0	1	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	213	0	373	7	209	0	0	0	22	0	0	113	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	0	21	154	28	0	0	0	0	7	92	44	0	0	0	0	0	0	0	0	85	34	0	9	0	0	0	0	0	0	0	13	0	133	25	0	0	0	0	10	0	0	1836	1216	14	0	0	22	87	142	0	0	0	0	0	0	12	56	39	110	0	14	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	73	342	4020	11	288	653	7	24	40	40	148	272	0	0	8	77	44	137	40	2000	311	715	105	26	32	6	161	8	60	356	259	306	12019	282	12	12	38	15	14	0	55	64	40	22	188	303	0	122	247	558	61	155	4	62	78	1352	105	88	417	927	110	0	3905	88	0	249	376	244	553	141	55	16	161	11	413	10	690	411	204	8	213	288	383	270	8	31	123	48	32	7	120	0	0	88	12	341	121	0	231	212	0	239	99	38	240	104	2123	319	8	3305	134	21	48	58	23	892	25	83	0	81	26	20	0	224	47	216	21	84	405
Eukaryota;Chordata;Mammalia;Primates;Hominidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Primates;Indriidae;Avahi;Avahi laniger	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	1	0	2	1	0	0	1	1	0	0	1	1	0	0	1	0	2	0	2	0	1	0	0	0	0	0	1	0	0	0	1	3	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	3	1	2	0	0	0	1	1	3	0	0	0	9	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Primates;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;Neotoma;Neotoma macrotis	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	23	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	756	0	66	0	0	180	0	0	0	16	0	0	0	0	0	0	154	0	0	66	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Rodentia;Muridae;Rattus;	0	0	0	63	116	0	0	0	0	0	0	3	0	0	30	15	0	0	0	0	21	2	26	0	0	0	0	9	0	54	27	446	0	508	5	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	19	446	0	0	0	0	0	0	0	248	0	0	0	0	0	0	9	54	0	0	0	2	10	0	0	0	0	0	0	0	144	61	56	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	15	0	0	138	0	0	0	17	0	0	0	62	0	0	0	86	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus	0	0	0	0	0	0	0	0	0	0	33	146	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	47	0	0	0	0	0	0	0	0	98	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Sciurus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	19	0	0	0	0	29	0	0	0	0	0	0	0	26	160	0	0	0	644	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	51	28	0	0	8	0	0	2035	77	0	123	11	0	0	19	0	534	0	203	0	0	10	0	59	0	81	9	0	0	0	0	201	0	57	0	0	7	185	44	0	55	25	0	0	0	0	0	0	0	0	17	0	422	0	35	0	49	171	3	14	735	0	0	0	23	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;NA;;NA;;	0	2	1	1	7	3	0	0	2	1	0	0	0	1	3	27	0	0	0	2	2	0	1	11	2	37	7	0	2	20	1	1	0	6	1	3	26	23	0	13	8	0	1	5	0	0	32	0	1	8	1	0	0	112	0	6	3	14	6	47	0	12	0	8	9	0	45	11	5	1	0	1	0	0	0	1	13	3	1	0	2	2	4	1	6	0	1	0	0	0	0	13	1	1	0	2	2	9	1	0	0	1	196	22	0	1	0	1	14	0	2	0	0	0	25	0	0	6	8	0	0	4	0	1	0	0	0	1	0
Eukaryota;NA;;NA;;NA;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	42	0	0	1	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1
