sum.taxonomy	R3_AS_DB1	R3_AS_DB2	R3_AS_PN1	R3_BC_DB1	R3_BC_DB2	R3_BC_PN1	R3_BC_PN2	R3_BP_DB1	R3_BP_PN1	R3_BP_PN2	R3_CC_DB1	R3_CC_DB2	R3_CC_PN1	R3_CC_PN2	R3_EV_DB1	R3_EV_DB2	R3_EV_PN2	R3_GL_DB1	R3_GL_DB2	R3_GL_PN1	R3_GN_DB1	R3_GN_DB2	R3_GN_PN1	R3_GN_PN2	R3_K0551_L7	R3_K0553_G5	R3_K0553_L7	R3_K0553_M8	R3_K0554_A1	R3_K0554_C3	R3_K0554_E4	R3_K0554_G5	R3_K0554_K6	R3_K0554_L7	R3_K0554_T9	R3_K0556_E4	R3_K0556_G5	R3_K0556_T9	R3_K0557_A1	R3_K0557_B2	R3_K0557_C3	R3_K0557_E4	R3_K0557_K6	R3_K0557_L7	R3_K0557_T9	R3_K0559_C3	R3_K0559_G5	R3_K0560_A1	R3_K0560_G5	R3_K0560_K6	R3_K0560_M8	R3_K0560_T9	R3_K0563_M8	R3_K0568_A1	R3_K0568_C3	R3_K0568_G5	R3_K0568_K6	R3_K0568_L7	R3_K0568_M8	R3_K0569_A1	R3_K0569_B2	R3_K0569_G5	R3_K0569_K6	R3_K0569_L7	R3_K0569_T9	R3_K0591_A1	R3_K0591_E4	R3_K0591_G5	R3_K0591_K6	R3_K0591_T9	R3_K0592_A1	R3_K0592_B2	R3_K0592_C3	R3_K0592_E4	R3_K0592_G5	R3_K0592_K6	R3_K0592_L7	R3_K0592_M8	R3_K0598_B2	R3_K0598_C3	R3_K0598_E4	R3_K0598_K6	R3_K0598_L7	R3_K0598_T9	R3_K0600_B2	R3_K0600_C3	R3_K0600_E4	R3_K0600_G5	R3_K0600_K6	R3_K0600_M8	R3_K0782_E4	R3_K0782_M8	R3_K0782_T9	R3_K0783_C3	R3_K0787_A1	R3_K0787_B2	R3_K0787_E4	R3_K0787_K6	R3_K0787_L7	R3_K0787_M8	R3_K0788_B2	R3_K0788_E4	R3_K0788_K6	R3_K0790_A1	R3_K0790_B2	R3_K0790_G5	R3_K0790_K6	R3_K0790_L7	R3_K0790_M8	R3_K0790_T9	R3_LB_DB1	R3_LB_DB2	R3_LB_PN1	R3_LB_PN2	R3_MW_DB1	R3_MW_DB2	R3_MW_PN1	R3_MW_PN2	R3_SD_DB1	R3_SD_DB2	R3_SD_PN1	R3_SD_PN2	R3_TW_DB1	R3_TW_DB2	R3_TW_PN1	R3_TW_PN2	R3_VW_DB1	R3_VW_DB2	R3_VW_PN1
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Lepomis;Lepomis cyanellus	0	0	0	75	732	0	24	291	40	0	0	0	0	0	39	131	3	0	0	0	107	123	29	9	0	0	0	0	0	0	144	65	0	0	0	0	0	0	25	0	0	0	69	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	41	0	0	360	0	153	2857	0	0	5	0	0	0	0	231	0	214	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Lepomis;Lepomis macrochirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Micropterus;	0	0	0	0	51	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	30	0	0	0	0	111	249	11	10	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	10	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	2875	2650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	16	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	2	0	0	665	0	0	0	0	0	0	0	0	165	47	104	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis;Oreochromis sp. red tilapia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	10	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	136	10	296	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Misgurnus;Misgurnus anguillicaudatus	0	0	0	0	0	0	0	461	0	0	0	0	0	0	56	91	0	0	0	0	232	327	116	0	0	0	0	0	0	0	977	46	0	0	0	0	0	0	10	0	0	0	0	0	69	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1744	0	0	5	0	0	0	0	0	57	0	0	445	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Acrossocheilus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	4	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Carassius;	0	0	0	0	1	0	0	56	0	0	0	0	0	0	1	70	0	0	0	0	100	259	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1934	0	0	31	0	0	0	9	0	0	0	0	0	16	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	89	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Gila;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	301	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;NA;	0	0	0	15	71	1	0	1447	10	11	0	0	0	1	649	749	1	0	0	7	1186	1123	237	129	0	1	1	0	28	11	97	192	9	0	4	0	12	2	9	157	19	23	45	0	153	1	1	1	0	0	0	164	7	10	0	1	0	108	0	206	0	0	0	26	0	1	255	461	1	2	17	0	0	0	0	1936	1	0	0	1	3704	0	0	29	475	8	0	3	0	0	10	0	1	0	0	610	0	2	41	36	0	596	1	0	1610	8	662	5396	0	114	232	0	7	13	1	1090	100	20	25	0	0	7	37	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	28	0	0	0	699	50	25	64	0	0	0	0	0	0	0	0	62	231	0	0	0	0	0	0	0	0	13	13	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	255	0	228	5789	0	49	0	0	0	0	0	82	0	60	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Gambusia;	0	0	0	0	0	0	0	930	0	0	31	410	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	136	0	0	0	0	0	9	0	33	0	0	0	231	277	344	0	0	14	0	0	0	156	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0	0	0	16	200	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Brachygobius;Brachygobius kabiliensis	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	3	0	3	1	2	1	0	0	0	2	0	5	1	2	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	8	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	1	0	0	3	0	0	0	0	0	1	0	0	2	3	2	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	2
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Lophiiformes;Gigantactinidae;Rhynchactis;Rhynchactis macrothrix	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	4	1	0	0	0	1	0	3	0	0	0	2	1	0	0	0	0	0	2	1	2	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0
Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	6	176	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;;NA;	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	17	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	6	0	0	0	0	1	1	0	2	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	27	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;	0	0	0	63	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Polymixiiformes;Polymixiidae;Polymixia;Polymixia berndti	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	1	3	0	1	1	3	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	1	1	0	4	1	1	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0	0	1
Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	39	0	0	0	0	0	0	0	0	73	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	79	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	68	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	31	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ictalurus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Siluriformes;Loricariidae;Pterygoplichthys;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	18	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Siluriformes;NA;;	0	0	0	13	794	0	0	0	0	0	0	0	0	0	39	29	0	0	0	0	24	64	0	0	0	0	9	0	0	0	0	0	0	0	0	0	3	0	17	0	0	15	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	151	0	0	0	0	0	0	0	0	26	0	0	55	0	12	73	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Amphibia;Anura;Bufonidae;Anaxyrus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Amphibia;Anura;NA;;	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Amphibia;Anura;Pipidae;Xenopus;	0	0	0	0	0	0	0	0	0	0	1597	3614	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Amphibia;Anura;Ranidae;Rana;	0	0	0	0	0	0	0	54	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;	0	0	0	0	1	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	207	0	1	0	0	0	20	345	3	1	3	1	0	0	2	0	7	0	1833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Anseriformes;Anatidae;NA;	0	0	0	22	222	0	0	1	0	0	21	150	0	0	47	21	0	0	0	0	130	90	0	0	0	0	0	0	0	376	0	0	0	0	41	0	0	64	17	542	237	0	0	9	33	0	0	0	0	0	113	0	407	19	0	0	55	594	0	0	117	18	24	4069	545	0	653	1660	0	0	8061	1	872	541	3706	486	144	0	2330	0	3029	1298	10	0	112	77	284	156	50	395	229	0	72	0	0	0	0	1	178	142	0	74	1	12	0	35	374	22	0	0	106	0	16	131	0	130	0	0	0	50	31	0	38	240	0	0	11	12	77
Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Nomonyx;Nomonyx dominica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	21	0	0	0	0	0	0	2	0	2	0	15	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Apodiformes;Trochilidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Charadriiformes;Laridae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	46	0	0	0	0	0	1	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	941	0	0	0	0	0	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	0	0	8882	3706	22	0	0	0	0	453	0	0	0	0	222	0	42	47	69	715	134	687	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Charadriiformes;NA;;	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0
